Date,Close
2018-01-02,0.5899999737739563
2018-01-03,0.5899999737739563
2018-01-04,0.6299999952316284
2018-01-05,0.6100000143051147
2018-01-08,0.5899999737739563
2018-01-09,0.5600000023841858
2018-01-10,0.5600000023841858
2018-01-11,0.550000011920929
2018-01-12,0.550000011920929
2018-01-16,0.5299999713897705
2018-01-17,0.5299999713897705
2018-01-18,0.5099999904632568
2018-01-19,0.5099999904632568
2018-01-22,0.5099999904632568
2018-01-23,0.5299999713897705
2018-01-24,0.5400000214576721
2018-01-25,0.5099999904632568
2018-01-26,0.5099999904632568
2018-01-29,0.49000000953674316
2018-01-30,0.47999998927116394
2018-01-31,0.5099999904632568
2018-02-01,0.5
2018-02-02,0.4699999988079071
2018-02-05,0.4699999988079071
2018-02-06,0.4699999988079071
2018-02-07,0.47999998927116394
2018-02-08,0.4399999976158142
2018-02-09,0.44999998807907104
2018-02-12,0.47999998927116394
2018-02-13,0.49000000953674316
2018-02-14,0.5
2018-02-15,0.5
2018-02-16,0.47999998927116394
2018-02-20,0.49000000953674316
2018-02-21,0.47999998927116394
2018-02-22,0.47999998927116394
2018-02-23,0.5
2018-02-26,0.49000000953674316
2018-02-27,0.47999998927116394
2018-02-28,0.4699999988079071
2018-03-01,0.46000000834465027
2018-03-02,0.47999998927116394
2018-03-05,0.47999998927116394
2018-03-06,0.47999998927116394
2018-03-07,0.4699999988079071
2018-03-08,0.4699999988079071
2018-03-09,0.4699999988079071
2018-03-12,0.4699999988079071
2018-03-13,0.4699999988079071
2018-03-14,0.4699999988079071
2018-03-15,0.46000000834465027
2018-03-16,0.46000000834465027
2018-03-19,0.44999998807907104
2018-03-20,0.46000000834465027
2018-03-21,0.4699999988079071
2018-03-22,0.47999998927116394
2018-03-23,0.46000000834465027
2018-03-26,0.44999998807907104
2018-03-27,0.44999998807907104
2018-03-28,0.4399999976158142
2018-03-29,0.44999998807907104
2018-04-02,0.4399999976158142
2018-04-03,0.46000000834465027
2018-04-04,0.46000000834465027
2018-04-05,0.4699999988079071
2018-04-06,0.44999998807907104
2018-04-09,0.46000000834465027
2018-04-10,0.4699999988079071
2018-04-11,0.4699999988079071
2018-04-12,0.4699999988079071
2018-04-13,0.47999998927116394
2018-04-16,0.5099999904632568
2018-04-17,0.5099999904632568
2018-04-18,0.5199999809265137
2018-04-19,0.5099999904632568
2018-04-20,0.5
2018-04-23,0.49000000953674316
2018-04-24,0.4699999988079071
2018-04-25,0.47999998927116394
2018-04-26,0.4699999988079071
2018-04-27,0.47999998927116394
2018-04-30,0.46000000834465027
2018-05-01,0.49000000953674316
2018-05-02,0.5
2018-05-03,0.4699999988079071
2018-05-04,0.4699999988079071
2018-05-07,0.4699999988079071
2018-05-08,0.4699999988079071
2018-05-09,0.4699999988079071
2018-05-10,0.47999998927116394
2018-05-11,0.4699999988079071
2018-05-14,0.4699999988079071
2018-05-15,0.47999998927116394
2018-05-16,0.47999998927116394
2018-05-17,0.47999998927116394
2018-05-18,0.5
2018-05-21,0.5099999904632568
2018-05-22,0.47999998927116394
2018-05-23,0.47999998927116394
2018-05-24,0.4699999988079071
2018-05-25,0.4699999988079071
2018-05-29,0.44999998807907104
2018-05-30,0.4699999988079071
2018-05-31,0.46000000834465027
2018-06-01,0.46000000834465027
2018-06-04,0.49000000953674316
2018-06-05,0.5299999713897705
2018-06-06,0.5299999713897705
2018-06-07,0.5199999809265137
2018-06-08,0.550000011920929
2018-06-11,0.5699999928474426
2018-06-12,0.5600000023841858
2018-06-13,0.550000011920929
2018-06-14,0.5600000023841858
2018-06-15,0.5299999713897705
2018-06-18,0.5400000214576721
2018-06-19,0.5199999809265137
2018-06-20,0.5400000214576721
2018-06-21,0.5099999904632568
2018-06-22,0.5299999713897705
2018-06-25,0.5099999904632568
2018-06-26,0.5
2018-06-27,0.49000000953674316
2018-06-28,0.47999998927116394
2018-06-29,0.5
2018-07-02,0.5199999809265137
2018-07-03,0.5099999904632568
2018-07-05,0.5099999904632568
2018-07-06,0.5099999904632568
2018-07-09,0.5099999904632568
2018-07-10,0.5099999904632568
2018-07-11,0.5
2018-07-12,0.5
2018-07-13,0.49000000953674316
2018-07-16,0.49000000953674316
2018-07-17,0.4699999988079071
2018-07-18,0.4699999988079071
2018-07-19,0.46000000834465027
